id,logo,text,labelAnnotations,logoAnnotations,textAnnotations,webDetection,bestGuessLabels,isRecycable
0,0,1,[u'text' u'font' u'angle' u'sign' u'brand' u'symbol' u'number'],,[u'C/PAP\n' u'C' u'/' u'PAP'],"[u'Clip art' u'Recycling codes' u'Composite material'
 u'Polyvinyl chloride' u'Computer Icons' u'Extrusion' u'Recycling symbol'
 u'Vector graphics' u'Recycling' u'Disposable' u'\u30d3\u30cb\u30fc\u30eb'
 u'Packaging and labeling' u'Building Materials' u'Material' u'Concrete']",[u'Disposable'],0
1,0,1,[u'text' u'font' u'number' u'symbol' u'sign' u'brand'],,[u'22\nPAP\n' u'22' u'PAP'],"[u'Plastic' u'Recycling' u'Recycling symbol' u'Waste'
 u'Packaging and labeling' u'Symbol' u'Plastic recycling' u'Label'
 u'Bottle' u'Polyethylene terephthalate' u'PET bottle recycling'
 u'High-density polyethylene' u'C\xf3digo' u'Plastic bottle'
 u'Polyvinyl chloride']",[u'codigo de reciclaje 7'],0
2,1,0,"[u'text' u'font' u'number' u'brown' u'textile' u'material' u'pattern'
 u'product' u'design' u'symbol']",[u'Polypropylene'],,"[u'Recycling' u'Plastic' u'Plastic recycling' u'Recycling symbol'
 u'Recycling codes' u'Polypropylene' u'Polyvinyl chloride'
 u'PET bottle recycling' u'High-density polyethylene' u'Container'
 u'Toilet' u'Material' u'Polyethylene terephthalate'
 u'Low-density polyethylene' u'Packaging and labeling']",[u'recycle other'],1
3,0,0,[u'metal' u'glass' u'material' u'glass bottle' u'caramel color' u'carving'],,,[u'Caramel color' u'Metal' u'Close-up' u'Amber'],[u'metal'],1
4,0,0,,,,,[],1
5,0,0,[u'drawing' u'font' u'glass' u'circle' u'glass bottle'],,,"[u'Glass' u'Glass bottle' u'Drawing' u'Font' u'Circle' u'Close-up'
 u'Bottle']",[u'drawing'],1
6,0,0,"[u'blue' u'water' u'aqua' u'close up' u'azure' u'font' u'underwater'
 u'freezing' u'turquoise' u'product' u'computer wallpaper']",,,"[u'Turquoise' u'Desktop Wallpaper' u'Water' u'Turquoise' u'Font'
 u'Close-up' u'Computer' u'Wallpaper']",[u'water'],1
7,0,1,[u'glass' u'font' u'number'],,[u'13d\n&gt;3\n' u'13d' u'&gt;' u'3'],"[u'Bear' u'Glass' u'Sansai' u'Mountaineering' u'Trekking'
 u'Japanese recycling symbols' u'Computer font' u'Recycling']",[u'\u30ea\u30b5\u30a4\u30af\u30eb \u30de\u30fc\u30af'],1
8,0,1,[u'font' u'product'],,[u'PET\n' u'PET'],[u'Paper' u'Computer font' u'\u30de\u30fc\u30af'],[u'\u7d19 \u30de\u30fc\u30af'],1
9,0,1,[u'cake' u'icing' u'buttercream' u'font' u'product' u'royal icing'],,[u'PET\n' u'PET'],[u'Buttercream' u'Royal icing' u'Font'],[u'cake'],1
10,0,0,[u'close up' u'circle' u'material'],,,[u'Circle' u'Close-up'],[u'close up'],1
11,0,0,[u'font'],,,[u'Font' u'Close-up'],[u'close up'],1
12,0,0,[u'floor' u'circle' u'material' u'flooring' u'font'],,,[u'Floor' u'Circle' u'Font'],[u'floor'],1
13,0,0,"[u'text' u'technology' u'font' u'design' u'material' u'product design'
 u'angle' u'number' u'product' u'square' u'brand']",,,"[u'Brand' u'Product design' u'Technology' u'Font' u'Angle' u'Square, Inc.'
 u'Design' u'Product']",[u'design'],1
14,0,0,"[u'white' u'font' u'line' u'material' u'product design' u'brand' u'silver'
 u'black and white' u'number']",,,"[u'White' u'Product design' u'Brand' u'Material' u'Font' u'Black'
 u'Design' u'Product']",[u'silver'],1
15,0,1,"[u'blue' u'water' u'product' u'cobalt blue' u'aqua' u'azure' u'light'
 u'electric blue' u'product' u'wheel' u'font' u'auto part']",,[u'\u05d0\u05d5\u05e8\u05df\n' u'\u05d0\u05d5\u05e8\u05df'],[u'Alloy wheel' u'Water' u'Font' u'Close-up' u'Alloy' u'Wheel'],[u'water'],0
16,0,0,"[u'water' u'blue' u'azure' u'close up' u'font' u'drop' u'organism' u'sky'
 u'drinking water' u'marine biology' u'electric blue'
 u'computer wallpaper']",,,"[u'Drinking water' u'Organism' u'Marine biology' u'Desktop Wallpaper'
 u'Font' u'Close-up' u'Sky' u'Biology' u'Computer' u'Drinking'
 u'Wallpaper']",[u'close up'],0
17,0,1,[u'glass' u'water' u'tableware' u'drinkware' u'glass bottle'],,[u'BAER\n' u'BAER'],[u'Glass bottle' u'Glass' u'Water' u'Close-up' u'Bottle'],[u'glass'],0
18,0,0,"[u'black and white' u'metal' u'product' u'monochrome photography'
 u'monochrome' u'silver' u'font' u'material' u'product design' u'pattern']",,,"[u'Silver' u'Product design' u'White' u'Material' u'Font' u'Black'
 u'Pattern' u'Design' u'Product']",[u'monochrome photography'],0
19,0,0,[u'metal' u'silver' u'material' u'product' u'font' u'black and white'],,,[u'Silver' u'White' u'Black' u'Font'],[u'silver'],0
20,0,0,"[u'black and white' u'metal' u'font' u'silver' u'material' u'product'
 u'monochrome']",,,[u'Silver' u'White' u'Black' u'Font'],[u'silver'],0
21,0,0,[u'white' u'black and white'],,,[u'White' u'Black'],[u'close up'],1
22,0,0,[u'atmosphere of earth' u'water' u'sky' u'space'],,,[u'Earth' u'Atmosphere of Earth' u'Water' u'Atmosphere'],[u'atmosphere of earth'],1
23,0,0,[u'material'],,,[u'Material'],[u'material'],1
24,0,1,[u'close up' u'font' u'product design' u'product' u'cup'],,[u'\u0627\u062a\n' u'\u0627\u062a'],[u'Product' u'Product design' u'Font' u'Close-up' u'Design'],[u'close up'],1
25,0,0,[u'product' u'product design' u'font'],,,[u'Product' u'Product design' u'Font' u'Design'],[],1
26,0,1,"[u'blue' u'aqua' u'water' u'turquoise' u'close up' u'azure' u'teal'
 u'turquoise' u'macro photography' u'font']",,[u'\u0a28s/2 5\n' u'\u0a28s' u'/' u'2' u'5'],[u'Turquoise' u'Water' u'Close-up' u'Turquoise' u'Font'],[u'water'],1
27,0,1,"[u'blue' u'aqua' u'water' u'turquoise' u'teal' u'azure' u'close up'
 u'turquoise' u'underwater' u'sky' u'computer wallpaper' u'font']",,[u'6/22\n' u'6' u'/' u'22'],"[u'Blue' u'Turquoise' u'Underwater' u'Water' u'Sky' u'Desktop Wallpaper'
 u'Turquoise' u'Close-up' u'Font' u'Computer' u'Wallpaper']",[u'water'],1
28,0,0,"[u'blue' u'water' u'aqua' u'turquoise' u'azure' u'turquoise'
 u'liquid bubble' u'organism' u'liquid' u'drop' u'computer wallpaper'
 u'underwater' u'macro photography' u'font' u'sky']",,,"[u'Blue' u'Turquoise' u'Water' u'Sky' u'Desktop Wallpaper' u'Liquid'
 u'Turquoise' u'Close-up' u'Organism' u'Font' u'Computer' u'Wallpaper']",[u'water'],1
