,logo,text,labelAnnotations,logoAnnotations,textAnnotations,webDetection,bestGuessLabels,isRecycable
0,0,1,[u'red' u'pink' u'text' u'font' u'magenta' u'brand'],,[u'\u30672\nPENO\n' u'\u3067' u'2' u'PENO'],[u'Font' u'Brand'],[],1
1,0,0,[u'material' u'metal' u'font' u'glass'],,,[u'Metal' u'Font'],[u'metal'],0
2,0,0,[u'glass' u'font' u'number'],,,"[u'Bear' u'Glass' u'Sansai' u'Mountaineering' u'Trekking'

 u'Japanese recycling symbols' u'Computer font' u'Recycling']",[u'\u30ea\u30b5\u30a4\u30af\u30eb \u30de\u30fc\u30af'],1
3,0,0,"[u'white' u'photograph' u'text' u'font' u'product' u'material' u'number'

 u'brand']",,,[u'Brand' u'Font' u'Photograph'],[u'photograph'],1
4,0,0,"[u'blue' u'motor vehicle' u'automotive design' u'car' u'electric blue'

 u'vehicle' u'product design' u'wheel' u'product' u'shoe']",,,"[u'Car' u'Compact car' u'Wheel' u'Automotive design'

 u'Automotive lighting' u'Product design' u'Motor vehicle' u'Close-up'

 u'Design' u'Vehicle']",[u'electric blue'],1
5,0,1,[u'green' u'font' u'product'],,[u'0-3\n' u'0-3'],[u'Font' u'Close-up'],[u'close up'],0
6,0,0,[u'white' u'font' u'product'],,,[u'Font' u'Close-up'],[u'close up'],1
7,0,0,[u'text' u'font' u'product' u'number' u'brand'],,,[u'Brand' u'Font'],[u'number'],1
8,0,0,"[u'blue' u'electric blue' u'automotive design' u'close up'

 u'personal protective equipment' u'motor vehicle' u'product' u'glass'

 u'auto part' u'font']",,,"[u'Car' u'Motor vehicle' u'Automotive design' u'Glass'

 u'Personal protective equipment' u'Close-up' u'Font' u'Vehicle'

 u'Graphic design']",[u'electric blue'],1
9,0,1,[u'text' u'font' u'number' u'product' u'label' u'angle' u'brand' u'sign'],,"[u'la\nAngustifolia Herb Extra\n01\nPETL\n' u'la' u'Angustifolia' u'Herb'

 u'Extra' u'01' u'PETL']",[u'Font' u'Angle' u'Brand'],[u'number'],1
10,0,1,[u'text' u'font' u'close up' u'square' u'brand'],,"[u'CTBO\nstan@splat.ru. Pec\nOTHER\n' u'CTBO' u'stan@splat.ru.' u'Pec'

 u'OTHER']","[u'Font' u'Close-up' u'Brand' u'Square, Inc.']",[u'close up'],0
11,0,0,"[u'black and white' u'metal' u'font' u'silver' u'material' u'product'

 u'monochrome']",,,[u'Silver' u'White' u'Black' u'Font'],[u'silver'],0
12,1,0,[u'text' u'brown' u'font' u'material' u'brand'],[u'Keep Britain Tidy'],,[u'Font' u'Brand' u'Keep Britain Tidy'],[u'keep britain tidy'],0
