id,logo,text,labelAnnotations,logoAnnotations,textAnnotations,webDetection,bestGuessLabels,isRecycable
0,0,1,[u'text' u'font' u'close up' u'square' u'brand'],,"[u'CTBO\nstan@splat.ru. Pec\nOTHER\n' u'CTBO' u'stan@splat.ru.' u'Pec'
 u'OTHER']","[u'Font' u'Close-up' u'Brand' u'Square, Inc.']",[u'close up'],0
1,0,1,"[u'text' u'font' u'number' u'angle' u'product design' u'handwriting'
 u'symbol' u'writing']",,"[u'6, e-mail: bielita@ma\n07\n' u'6,' u'e-mail:' u'bielita@ma' u'07']","[u'Plastic' u'Plastic bag' u'High-density polyethylene' u'Recycling'
 u'Polyethylene terephthalate' u'Low-density polyethylene' u'Material'
 u'Polypropylene' u'Thermoplastic' u'Plastic bottle']",[u'plastic 2'],0
2,0,1,[u'text' u'font' u'label' u'product' u'number'],,"[u'\u0440-\u043d,\nD.\n\u0430\u043d\u0430\n\u4e59-(8\nC/LDPE\n\u043c\u0438\u043d\u0430\u043b\u044c\u043d\u044b\u0439\n\u0435\u043c:\n'
 u'\u0440' u'-' u'\u043d' u',' u'D.' u'\u0430\u043d\u0430' u'\u4e59' u'-'
 u'(' u'8' u'C/LDPE'
 u'\u043c\u0438\u043d\u0430\u043b\u044c\u043d\u044b\u0439' u'\u0435\u043c'
 u':']",[u'Font' u'Close-up'],[u'close up'],0
3,0,1,[u'text' u'font' u'label' u'brand'],,"[u'\u0438\u0437\u0433\u043e\u0442\u043e\u0432\u043b\u0435\u043d\u0438\u044f, \u0418\u0441\u043f\n\u4e59J\nC/HDPE\n'
 u'\u0438\u0437\u0433\u043e\u0442\u043e\u0432\u043b\u0435\u043d\u0438\u044f'
 u',' u'\u0418\u0441\u043f' u'\u4e59' u'J' u'C/HDPE']","[u'Lojas Americanas' u'Logistics' u'Submarino' u'Proposal'
 u'Reverse logistics' u'Shoptime' u'Service' u'Price' u'Label' u'Book']",[u'label'],0
4,0,1,[u'text' u'font' u'calligraphy' u'label'],,"[u'\u0430\u0434\u0441\u043a\u0430\u044f \u043a\u0430, Sm\n'
 u'\u0430\u0434\u0441\u043a\u0430\u044f' u'\u043a\u0430' u',' u'Sm']",[u'Font' u'Calligraphy'],[u'calligraphy'],0
5,0,1,[u'text' u'font' u'angle' u'brand'],,"[u'90\n\u0432\u043d\u0443\u0442\u0440\u0435\u043d\u043d\u044f\u044f \u0443\u043f\u0430\u043a\u043e\u0432\u043a\u0430\n'
 u'90' u'\u0432\u043d\u0443\u0442\u0440\u0435\u043d\u043d\u044f\u044f'
 u'\u0443\u043f\u0430\u043a\u043e\u0432\u043a\u0430']",[u'Font' u'Angle' u'Brand'],[u'angle'],0
6,0,1,[u'text' u'font' u'sign' u'angle' u'brand' u'number' u'symbol'],,[u'C/LDPE\n' u'C/LDPE'],"[u'Paper' u'Recycling codes' u'Recycling' u'Polyethylene terephthalate'
 u'Low-density polyethylene' u'Plastic' u'Packaging and labeling'
 u'Polyvinyl chloride' u'High-density polyethylene' u'Polyethylene']",[u'recycle code 90'],0
7,0,1,[u'text' u'font' u'close up' u'number'],,[u'90\n' u'90'],[u'Font' u'Close-up'],[u'close up'],0
8,0,1,[u'green' u'font' u'product'],,[u'0-3\n' u'0-3'],[u'Font' u'Close-up'],[u'close up'],0
9,0,1,[u'material' u'metal' u'product' u'font'],,[u'PS\n' u'PS'],[u'Metal' u'Font'],[u'metal'],0
10,0,0,"[u'product' u'plumbing fixture' u'sink' u'material' u'glass'
 u'toilet seat']",,,[u'Sink' u'Glass' u'Toilet & Bidet Seats' u'Close-up' u'Toilet' u'Seat'],[u'sink'],0
11,0,0,"[u'metal' u'material' u'automotive exterior' u'glass' u'angle' u'floor'
 u'product']",,,[u'Car' u'Metal' u'Angle' u'Floor'],[u'metal'],0
12,0,0,"[u'material' u'glass' u'automotive exterior' u'plumbing fixture' u'floor'
 u'toilet seat']",,,[u'Toilet & Bidet Seats' u'Glass' u'Toilet' u'Seat'],[u'glass'],0
13,0,0,"[u'plumbing fixture' u'tap' u'toilet seat' u'toilet' u'bidet' u'sink'
 u'product design' u'bathtub' u'angle' u'glass']",,,"[u'Bideh' u'Toilet & Bidet Seats' u'Glass' u'Tap' u'Sink' u'Bathtub'
 u'Product design' u'Angle' u'Toilet' u'Design']",[u'tap'],0
14,0,0,"[u'plumbing fixture' u'toilet seat' u'tap' u'sink' u'product design'
 u'glass' u'bidet' u'angle' u'product']",,,"[u'Bideh' u'Toilet & Bidet Seats' u'Glass' u'Sink' u'Tap'
 u'Product design' u'Angle' u'Toilet' u'Design' u'Seat']",[u'toilet seat'],0
15,0,0,[u'material' u'glass' u'automotive exterior' u'product' u'metal'],,,[u'Car' u'Glass' u'Material' u'Metal'],[u'glass'],0
16,0,0,"[u'light' u'plumbing fixture' u'glass' u'floor' u'toilet seat'
 u'automotive exterior' u'material' u'product' u'sink']",,,"[u'Light' u'Toilet & Bidet Seats' u'Car' u'Glass' u'Sink' u'Floor'
 u'Toilet' u'Seat']",[u'light'],0
17,0,0,[u'material' u'metal' u'font' u'glass'],,,[u'Metal' u'Font'],[u'metal'],0
18,0,0,"[u'automotive exterior' u'motor vehicle' u'glass' u'material' u'metal'
 u'auto part' u'product']",,,[u'Car' u'Glass' u'Material' u'Metal'],[u'glass'],0
19,0,0,[u'metal' u'silver' u'material' u'product' u'font' u'black and white'],,,[u'Silver' u'White' u'Black' u'Font'],[u'silver'],0
20,0,0,"[u'black and white' u'metal' u'font' u'silver' u'material' u'product'
 u'monochrome']",,,[u'Silver' u'White' u'Black' u'Font'],[u'silver'],0
21,0,0,"[u'black and white' u'metal' u'product' u'monochrome photography'
 u'monochrome' u'silver' u'font' u'material' u'product design' u'pattern']",,,"[u'Silver' u'Product design' u'White' u'Material' u'Font' u'Black'
 u'Pattern' u'Design' u'Product']",[u'monochrome photography'],0
22,0,1,[u'text' u'font' u'angle' u'sign' u'brand' u'symbol' u'number'],,[u'C/PAP\n' u'C/PAP'],[u'Maintenance' u'Disposable' u'Journal Citation Reports' u'Soap' u'Dust'],[u'Maintenance'],0
23,1,1,"[u'text' u'font' u'product' u'line' u'logo' u'sign' u'area' u'brand'
 u'symbol' u'number']",[u'Low-density polyethylene'],[u'PS\n' u'PS'],"[u'Recycling' u'Plastic' u'Recycling symbol' u'Polystyrene'
 u'Plastic recycling' u'Resin identification code'
 u'Packaging and labeling' u'Polypropylene' u'Paper recycling' u'Material']",[u'6 ps logo'],0
24,0,1,"[u'text' u'font' u'logo' u'product' u'area' u'line' u'brand' u'graphics'
 u'product design' u'symbol']",,[u'7\nOTHER\n' u'7' u'OTHER'],"[u'Plastic' u'Resin identification code' u'Plastic recycling'
 u'Recycling codes' u'Recycling' u'Recycling symbol'
 u'Packaging and labeling' u'Industry' u'Plastic bottle'
 u'Society of the Plastics Industry']",[u'7 other plastic'],0
25,1,1,"[u'black and white' u'text' u'font' u'line' u'area' u'clip art' u'logo'
 u'symbol' u'graphics' u'monochrome']",[u'HDPE'],[u'7\nOTHER\n' u'7' u'OTHER'],"[u'Recycling codes' u'Plastic' u'Resin identification code'
 u'Recycling symbol' u'Clip art' u'Recycling' u'Plastic recycling'
 u'Plastic bottle' u'Polyethylene terephthalate' u'Vector graphics']",[u'7 other'],0
