id,logo,text,labelAnnotations,logoAnnotations,textAnnotations,webDetection,bestGuessLabels,isRecycable
0,0,0,[u'yellow' u'macro photography' u'font'],,,[u'Yellow' u'Font' u'Macro photography' u'Photography'],[u'macro photography'],1
1,1,0,"[u'text' u'font' u'number' u'brown' u'textile' u'material' u'pattern'
 u'product' u'design' u'symbol']",[u'Polypropylene'],,"[u'Recycling' u'Polypropylene' u'Plastic' u'Recycling codes'
 u'Plastic recycling' u'Recycling symbol' u'Polyvinyl chloride'
 u'Container' u'Toilet' u'Low-density polyethylene']",[u'recycling 5'],1
2,0,0,[u'body jewelry' u'silver' u'product design' u'font'],,,"[u'Product design' u'Font' u'Body Jewellery' u'Design' u'Product'
 u'Jewellery']",[u'body jewelry'],1
3,0,1,"[u'violet' u'purple' u'text' u'pink' u'font' u'magenta'
 u'computer wallpaper']",,[u'2M\n250 M\n' u'2M' u'250' u'M'],[u'Desktop Wallpaper' u'Map' u'Scale' u'Font' u'Computer' u'Wallpaper'],[u'escalas de los mapas'],1
4,0,0,"[u'green' u'text' u'needlework' u'pattern' u'textile' u'font'
 u'cross stitch' u'design' u'material' u'stitch']",,,"[u'Plastic' u'SlideShare' u'Polyethylene terephthalate' u'Bottle'
 u'Textile' u'Fibra tessile' u'High-density polyethylene' u'Information'
 u'Polyethylene' u'Recycling']",[u'needlework'],1
5,0,1,[u'text' u'font' u'label' u'brand'],,"[u'27276,\u0441 \u041c\u043e\u0441\u043a\u0432\u0430, \u0443\u043f. \u0411\u043e\u0442\u0430\u043d\n\u0412 \xab\u041a\u0440\u0435\u0434\u043e-Kannan-\u0423\u0440\u0430\u0457\u043d\u0430\xbb\nwww.credo-capit\n\u041b\u041f\u0410\u041a\nHDPE\n'
 u'27276' u',' u'\u0441' u'\u041c\u043e\u0441\u043a\u0432\u0430' u','
 u'\u0443\u043f' u'.' u'\u0411\u043e\u0442\u0430\u043d' u'\u0412' u'\xab'
 u'\u041a\u0440\u0435\u0434\u043e' u'-' u'Kannan' u'-'
 u'\u0423\u0440\u0430\u0457\u043d\u0430' u'\xbb' u'www.credo-capit'
 u'\u041b\u041f\u0410\u041a' u'HDPE']",[u'Font'],[u'label'],1
6,1,1,[u'blue' u'text' u'font' u'angle' u'label' u'product' u'number'],[u'PVC'],[u'2\nHOPE\nHO\n' u'2' u'HOPE' u'HO'],"[u'Label' u'Font' u'Bottle' u'Printing' u'Angle' u'Sport' u'Ounce'
 u'Value']",[u'4allpromos 200 printed sport bottles - 26 oz value bottle'],1
7,0,0,[u'yellow' u'orange' u'font'],,,"[u'High-density polyethylene' u'Plastic' u'Low-density polyethylene'
 u'Recycling symbol' u'Plastic recycling' u'Resin identification code'
 u'Bucket' u'Recycling codes' u'Food storage containers' u'Polypropylene']",[u'hdpe 2 plastic'],1
8,1,1,"[u'text' u'font' u'black and white' u'line' u'logo' u'area' u'clip art'
 u'symbol' u'graphics' u'brand']",[u'Low-density polyethylene'],[u'2\nHDPE\n' u'2' u'HDPE'],"[u'Plastic bag' u'High-density polyethylene' u'Low-density polyethylene'
 u'Plastic' u'Polyethylene' u'Plastic recycling' u'Recycling'
 u'Polyethylene terephthalate' u'Polypropylene' u'Plastic bottle']",[u'low-density polyethylene'],1
9,0,0,[u'blue' u'font' u'organism' u'electric blue' u'product'],,,"[u'Plastic' u'High-density polyethylene' u'Polyethylene' u'Thermoplastic'
 u'Pipe' u'Recycling' u'Plastic film' u'Label' u'Bottle' u'Polymer']",[u'cobalt blue'],1
10,0,1,[u'text' u'font' u'angle' u'number' u'drawing'],,[u'\uc18c\nPET\n' u'\uc18c' u'PET'],[u'Drawing' u'Font' u'Angle'],[u'angle'],1
11,0,1,[u'text' u'font' u'area' u'number' u'angle' u'art'],,[u'PET\n' u'PET'],[u'Art' u'Font' u'Area' u'Angle'],[u'number'],1
12,0,1,[u'text' u'font' u'number' u'product' u'label' u'angle' u'brand' u'sign'],,"[u'la\nAngustifolia Herb Extra\n01\nPETL\n' u'la' u'Angustifolia' u'Herb'
 u'Extra' u'01' u'PETL']",[u'Font' u'Angle' u'Brand'],[u'number'],1
13,0,0,[u'white' u'font' u'product'],,,[u'Font' u'Close-up'],[u'close up'],1
14,0,0,[u'product design' u'material' u'product'],,,[u'Product design' u'Product' u'Material' u'Design'],[u'material'],1
15,0,0,[u'yellow' u'material'],,,[u'Yellow'],[u'material'],1
16,0,1,[u'red' u'pink' u'text' u'font' u'magenta' u'brand'],,[u'\u30672\nPENO\n' u'\u3067' u'2' u'PENO'],[u'Font' u'Brand'],[],1
17,0,0,[u'red'],,,[u'Red Digital Cinema Camera Company'],[],1
18,0,0,[u'tableware' u'product design' u'cup' u'ceramic'],,,[u'Product design' u'Ceramic' u'Design' u'Product'],[u'cup'],1
19,0,0,"[u'tableware' u'cup' u'product design' u'lid' u'product' u'cup'
 u'drinkware']",,,[u'Product' u'Product design' u'Lid' u'Cup' u'Design'],[u'cup'],1
20,0,0,"[u'blue' u'cobalt blue' u'light' u'electric blue' u'automotive design'
 u'automotive lighting' u'personal protective equipment' u'glass' u'water'
 u'wheel']",,,"[u'Light' u'Automotive lighting' u'Car' u'Automotive design' u'Glass'
 u'Close-up' u'Font' u'Wheel' u'Personal protective equipment' u'Lighting']",[u'cobalt blue'],1
21,0,0,"[u'automotive tire' u'tire' u'wheel' u'electric blue'
 u'personal protective equipment' u'auto part' u'automotive wheel system'
 u'product' u'glass']",,,"[u'Tire' u'Cobalt blue' u'Glass' u'Wheel' u'Close-up'
 u'Personal protective equipment' u'Blue' u'Cobalt']",[u'cobalt blue'],1
22,0,0,"[u'motor vehicle' u'blue' u'car' u'automotive design' u'electric blue'
 u'vehicle door' u'vehicle' u'automotive exterior' u'automotive lighting'
 u'hood']",,,"[u'Car door' u'Car' u'Compact car' u'Automotive design' u'Wheel'
 u'Motor vehicle' u'Hood' u'Headlamp' u'Tire' u'Family car']",[u'electric blue'],1
23,0,0,"[u'blue' u'motor vehicle' u'automotive design' u'car' u'electric blue'
 u'vehicle' u'product design' u'wheel' u'product' u'shoe']",,,"[u'Car' u'Compact car' u'Wheel' u'Automotive design'
 u'Automotive lighting' u'Product design' u'Motor vehicle' u'Close-up'
 u'Design' u'Vehicle']",[u'electric blue'],1
24,0,0,"[u'blue' u'automotive design' u'electric blue' u'close up' u'iron'
 u'product' u'personal protective equipment' u'product design'
 u'auto part' u'automotive exterior']",,,"[u'Car' u'Automotive design' u'Product design' u'Close-up' u'Wheel'
 u'Design' u'Personal protective equipment' u'Iron' u'Graphic design'
 u'Product']",[u'cobalt blue'],1
